,Age,Fare,f1000,f1001
0,22.0,7.25,3.375,3.375
1,38.0,71.3,4.695,4.695
2,26.0,7.926,3.523,3.523
3,35.0,53.1,4.477,4.477
4,35.0,8.05,3.762,3.762
5,,8.46,,
6,54.0,51.88,4.664,4.664
7,2.0,21.08,3.139,3.139
8,27.0,11.13,3.64,3.64
9,14.0,30.08,3.785,3.785
10,4.0,16.7,3.03,3.03
11,58.0,26.55,4.438,4.438
12,20.0,8.05,3.334,3.334
13,39.0,31.28,4.254,4.254
14,14.0,7.855,3.084,3.084
15,55.0,16.0,4.26,4.26
16,2.0,29.12,3.438,3.438
17,,13.0,,
18,31.0,18.0,3.893,3.893
19,,7.227,,
20,35.0,26.0,4.11,4.11
21,34.0,13.0,3.85,3.85
22,15.0,8.03,3.137,3.137
23,28.0,35.5,4.152,4.152
24,8.0,21.08,3.37,3.37
25,38.0,31.39,4.24,4.24
26,,7.227,,
27,19.0,263.0,5.64,5.64
28,,7.88,,
29,,7.895,,
30,40.0,27.72,4.215,4.215
31,,146.5,,
32,,7.75,,
33,66.0,10.5,4.336,4.336
34,28.0,82.2,4.703,4.703
35,42.0,52.0,4.543,4.543
36,,7.23,,
37,21.0,8.05,3.37,3.37
38,18.0,18.0,3.584,3.584
39,14.0,11.24,3.229,3.229
40,40.0,9.48,3.902,3.902
41,27.0,21.0,3.871,3.871
42,,7.895,,
43,3.0,41.6,3.797,3.797
44,19.0,7.88,3.291,3.291
45,,8.05,,
46,,15.5,,
47,,7.75,,
48,,21.67,,
49,18.0,17.8,3.578,3.578
50,7.0,39.7,3.844,3.844
51,21.0,7.8,3.361,3.361
52,49.0,76.75,4.836,4.836
53,29.0,26.0,4.008,4.008
54,65.0,61.97,4.844,4.844
55,,35.5,,
56,21.0,10.5,3.45,3.45
57,28.5,7.23,3.576,3.576
58,5.0,27.75,3.488,3.488
59,11.0,46.9,4.06,4.06
60,22.0,7.23,3.375,3.375
61,38.0,80.0,4.77,4.77
62,45.0,83.5,4.855,4.855
63,4.0,27.9,3.463,3.463
64,,27.72,,
65,,15.24,,
66,29.0,10.5,3.676,3.676
67,19.0,8.16,3.3,3.3
68,17.0,7.926,3.217,3.217
69,26.0,8.664,3.545,3.545
70,32.0,10.5,3.75,3.75
71,16.0,46.9,4.14,4.14
72,21.0,73.5,4.547,4.547
73,26.0,14.45,3.7,3.7
74,32.0,56.5,4.484,4.484
75,25.0,7.65,3.486,3.486
76,,7.895,,
77,,8.05,,
78,0.83,29.0,3.396,3.396
79,30.0,12.48,3.748,3.748
80,22.0,9.0,3.434,3.434
81,29.0,9.5,3.65,3.65
82,,7.79,,
83,28.0,47.1,4.32,4.32
84,17.0,10.5,3.314,3.314
85,33.0,15.85,3.889,3.889
86,16.0,34.38,3.92,3.92
87,,8.05,,
88,23.0,263.0,5.656,5.656
89,24.0,8.05,3.467,3.467
90,29.0,8.05,3.611,3.611
91,20.0,7.855,3.326,3.326
92,46.0,61.2,4.676,4.676
93,26.0,20.58,3.842,3.842
94,59.0,7.25,4.195,4.195
95,,8.05,,
96,71.0,34.66,4.66,4.66
97,23.0,63.34,4.457,4.457
98,34.0,23.0,4.043,4.043
99,34.0,26.0,4.094,4.094
100,28.0,7.895,3.58,3.58
101,,7.895,,
102,21.0,77.3,4.59,4.59
103,33.0,8.66,3.729,3.729
104,37.0,7.926,3.805,3.805
105,28.0,7.895,3.58,3.58
106,21.0,7.65,3.355,3.355
107,,7.773,,
108,38.0,7.895,3.826,3.826
109,,24.16,,
110,47.0,52.0,4.594,4.594
111,14.5,14.45,3.365,3.365
112,22.0,8.05,3.402,3.402
113,20.0,9.83,3.395,3.395
114,17.0,14.46,3.45,3.45
115,21.0,7.926,3.365,3.365
116,70.5,7.75,4.36,4.36
117,29.0,21.0,3.912,3.912
118,24.0,247.5,5.605,5.605
119,2.0,31.28,3.504,3.504
120,21.0,73.5,4.547,4.547
121,,8.05,,
122,32.5,30.08,4.137,4.137
123,32.5,13.0,3.818,3.818
124,54.0,77.3,4.88,4.88
125,12.0,11.24,3.146,3.146
126,,7.75,,
127,24.0,7.14,3.44,3.44
128,,22.36,,
129,45.0,6.977,3.951,3.951
130,33.0,7.895,3.71,3.71
131,20.0,7.05,3.297,3.297
132,47.0,14.5,4.117,4.117
133,29.0,26.0,4.008,4.008
134,25.0,13.0,3.637,3.637
135,23.0,15.05,3.639,3.639
136,19.0,26.28,3.812,3.812
137,37.0,53.1,4.5,4.5
138,16.0,9.22,3.227,3.227
139,24.0,79.2,4.637,4.637
140,,15.24,,
141,22.0,7.75,3.393,3.393
142,24.0,15.85,3.686,3.686
143,19.0,6.75,3.248,3.248
144,18.0,11.5,3.385,3.385
145,19.0,36.75,4.02,4.02
146,27.0,7.797,3.549,3.549
147,9.0,34.38,3.77,3.77
148,36.5,26.0,4.137,4.137
149,42.0,13.0,4.008,4.008
150,51.0,12.52,4.152,4.152
151,22.0,66.6,4.484,4.484
152,55.5,8.05,4.152,4.152
153,40.5,14.5,4.008,4.008
154,,7.312,,
155,51.0,61.38,4.723,4.723
156,16.0,7.734,3.166,3.166
157,30.0,8.05,3.639,3.639
158,,8.664,,
159,,69.56,,
160,44.0,16.1,4.098,4.098
161,40.0,15.75,4.02,4.02
162,26.0,7.773,3.52,3.52
163,17.0,8.664,3.244,3.244
164,1.0,39.7,3.705,3.705
165,9.0,20.53,3.385,3.385
166,,55.0,,
167,45.0,27.9,4.29,4.29
168,,25.92,,
169,28.0,56.5,4.438,4.438
170,61.0,33.5,4.547,4.547
171,4.0,29.12,3.5,3.5
172,1.0,11.13,2.496,2.496
173,21.0,7.926,3.365,3.365
174,56.0,30.7,4.46,4.46
175,18.0,7.855,3.252,3.252
176,,25.47,,
177,50.0,28.72,4.367,4.367
178,30.0,13.0,3.762,3.762
179,36.0,0.0,3.584,3.584
180,,69.56,,
181,,15.05,,
182,9.0,31.39,3.7,3.7
183,1.0,39.0,3.69,3.69
184,4.0,22.03,3.26,3.26
185,,50.0,,
186,,15.5,,
187,45.0,26.55,4.27,4.27
188,40.0,15.5,4.016,4.016
189,36.0,7.895,3.781,3.781
190,32.0,13.0,3.807,3.807
191,19.0,13.0,3.465,3.465
192,19.0,7.855,3.291,3.291
193,3.0,26.0,3.367,3.367
194,44.0,27.72,4.273,4.273
195,58.0,146.5,5.32,5.32
196,,7.75,,
197,42.0,8.41,3.92,3.92
198,,7.75,,
199,24.0,13.0,3.611,3.611
200,28.0,9.5,3.625,3.625
201,,69.56,,
202,34.0,6.496,3.701,3.701
203,45.5,7.227,3.965,3.965
204,18.0,8.05,3.26,3.26
